timestamp_ms,timestamp_iso,price,signal,recommendation,confidence,confidence_metrics,reco_original,reco_gate_reason,elite_eligible,elite_reasons,trigger_reasons,atr_pct,volume_z,dist_to_edge_pct,nearest_edge,low_gate_effective,low_gate_base,htf_ok,htf_strength,htf_score,rr_live,rr_thresh,atr_ratio,atr_ratio_min,trend_override_1m,scenario,elite_metrics,trend_confluence_confluence,trend_confluence_direction,trend_confluence_strength,volatility_regime,volatility_atr_ratio,trap_detected,trap_reasons,cascade_detected,cascade_severity,cascade_type,whale_vwap_buying,whale_vwap_selling,whale_twap_accumulation,whale_iceberg_orders,whale_accum_zones_count,whale_dist_zones_count,whale_liquidity_pools_count,whale_targets_count,whale_zone_quality_accumulation,whale_zone_quality_distribution,whale_zone_risk_from_zones
1762273860000,2025-11-04T16:31:00Z,1.951,NORMAL,,,,,,,,,0.0031204495279769737,0.4717542573770638,0.0009738595592004165,lower,,,0,0.3512,0.0,,,1.144771738500576,,,,,,,,normal,1.144771738500576,,,,,,0,1,0,1,5,0,0,10,1.0,0.0,0.0
1762273920000,2025-11-04T16:32:00Z,1.9460000000000002,NORMAL,,,,,,,,,0.003085532588866325,-1.1693588637727785,0.0011305241521067614,lower,,,0,0.4077,0.0,,,1.1438188729009282,,,,,,,,normal,1.1438188729009282,,,,,,0,1,0,1,5,0,0,10,1.0,0.0,0.0
1762273980000,2025-11-04T16:33:00Z,1.9460000000000002,NORMAL,,,,,,,,,0.002977723652470852,-0.15949030552776483,0.0010277492291879647,lower,,,0,0.3978,0.0,,,1.1455095729573765,,,,,,,,normal,1.1455095729573765,,,,,,0,1,0,1,5,0,0,10,1.0,0.0,0.0
1762274040000,2025-11-04T16:34:00Z,1.949,NORMAL,,,,,,,,,0.002882943342171026,-0.5169726023486879,0.0008209338122114139,lower,,,0,0.3492,0.0,,,1.1445877685966808,,,,,,,,normal,1.1445877685966808,,,,,,0,1,0,1,5,0,0,10,1.0,0.0,0.0
1762274100000,2025-11-04T16:35:00Z,1.948,NORMAL,,,,,,,,,0.0027673248360108697,-1.4882930919201023,0.0005133470225872124,lower,,,0,0.3539,0.0,,,1.1488274562809593,,,,,,,,normal,1.1488274562809593,,,,,,0,1,0,1,5,0,0,10,1.0,0.0,0.0
1762274160000,2025-11-04T16:36:00Z,1.947,NORMAL,,,,,,,,,0.0026729676842258895,-1.4473076815207973,,lower,,,0,0.3585,0.0,,,1.1478720459924783,,,,,,,,normal,1.1478720459924783,,,,,,0,1,0,1,5,0,0,10,1.0,0.0,0.0
1762274220000,2025-11-04T16:37:00Z,1.949,NORMAL,,,,,,,,,0.002655787127152429,-0.7023453452640992,0.0010261672652642389,lower,,,0,0.324,0.0,,,1.1494791652054037,,,,,,,,normal,1.1494791652054037,,,,,,0,1,0,1,5,0,0,10,1.0,0.0,0.0
1762274280000,2025-11-04T16:38:00Z,1.9460000000000002,NORMAL,,,,,,,,,0.00257662452474095,-1.2376319391415236,0.0005138746145939824,lower,,,0,0.3554,0.0,,,1.1510426770771178,,,,,,,,normal,1.1510426770771178,,,,,,0,1,0,1,5,0,0,10,1.0,0.0,0.0
1762274340000,2025-11-04T16:39:00Z,1.948,NORMAL,,,,,,,,,0.0025756003382581094,0.4465013556011493,0.0005133470225872124,lower,,,0,0.321,0.0,,,1.1476145563438895,,,,,,,,normal,1.1476145563438895,,,,,,0,1,0,1,6,0,0,12,1.0,0.0,0.0
1762274400000,2025-11-04T16:40:00Z,1.941,NORMAL,,,,,,,,,0.002691434403049723,-0.1932807658817306,0.0030911901081916563,lower,,,0,0.4047,0.0,,,1.1476145563438895,,,,,,,,normal,1.1476145563438895,,,,,,0,1,0,1,6,0,0,12,1.0,0.0,0.0
